"Strassenverkehrsunfälle: Mutmassliche Mängel und Einflüsse"

"Mangel oder Einfluss"	"Objektart"	"2015"
"A: Zustand des Lenkers oder Fussgängers"	"FussgängerIn"	97
"A: Beeinträchtigte Sicht des Lenkers"	"FussgängerIn"	2
"A: Nichtbeachten von Zeichengebung oder Signalisation"	"FussgängerIn"	13
"A: Missachten der Lichtsignale"	"FussgängerIn"	4
"A: Mangelhafte Bedienung des Fahrzeuges"	"FussgängerIn"	4
"A: Ladung des Fahrzeuges"	"FussgängerIn"	0
"A: Unaufmerksamkeit und Ablenkung"	"FussgängerIn"	47
"B: Mangel an der Strassenanlage"	"FussgängerIn"	7
"B: Momentaner äusserer Einfluss"	"FussgängerIn"	2
"B: Einfluss durch Dritte"	"FussgängerIn"	3
"C: Mangelhafter Unterhalt des Fahrzeuges"	"FussgängerIn"	0
"C: Technische Defekte am Fahrzeug"	"FussgängerIn"	0
"D: Geschwindigkeit"	"FussgängerIn"	4
"D: Links-/Rechtsfahren und Einspuren"	"FussgängerIn"	4
"D: Ueberholen (Situation)"	"FussgängerIn"	0
"D: Ueberholen (Verkehrsablauf)"	"FussgängerIn"	0
"D: Missachten des Vortrittrechtes"	"FussgängerIn"	11
"D: Andere Fahrbewegungen"	"FussgängerIn"	2
"D: Fahrrad- und Motorfahrradverkehr"	"FussgängerIn"	0
"D: Verhalten des Fussgängers"	"FussgängerIn"	906
"D: Unbekannter Mangel/Einfluss"	"FussgängerIn"	8
